"","x"
"1079","TPT1-AS1"
"1080","LRCH1"
"1081","NAP1L4P3"
"1082","PSME2P2"
"1083","ARL11"
"1084","RNASEH2B"
"1085","FAM124A"
"1086","SERPINE3"
"1087","RPS4XP16"
"1088","INTS6-AS1"
"1089","AC000403.1"
"1090","FBXL3"
"1091","MYCBP2-AS1"
"1092","MYCBP2"
"1093","RNF219-AS1"
"1094","RNF219"
"1095","SPRY2"
"1096","TGDS"
"1097","UGGT2"
"1098","MBNL2"
"1099","LINC01232"
"1100","LIG4"
"1101","TNFSF13B"
"1102","RAB20"
"1103","ING1"
"1104","ANKRD10"
"1105","ATP11A"
"1106","LAMP1"
"1107","C13orf46"
"1108","AL355075.3"
"1109","PNP"
"1110","SLC7A7"
"1111","LRP10"
"1112","CARMIL3"
"1113","CPNE6"
"1114","PCK2"
"1115","PSME1"
"1116","AL136295.2"
"1117","PSME2"
"1118","IRF9"
"1119","AL136295.5"
"1120","REC8"
"1121","G2E3"
"1122","STRN3"
"1123","AP4S1"
"1124","HECTD1"
"1125","AL161665.1"
"1126","ARHGAP5"
"1127","BAZ1A"
"1128","SRP54"
"1129","AL049776.1"
"1130","FAM177A1"
"1131","AL121594.1"
"1132","PSMA6"
"1133","RALGAPA1"
"1134","AL109628.2"
"1135","TRAPPC6B"
"1136","AL132639.3"
"1137","MIA2"
"1138","KLHL28"
"1139","MIS18BP1"
"1140","KLHDC1"
"1141","RN7SL3"
"1142","LINC01588"
"1143","AL359397.2"
"1144","CDKL1"
"1145","MAP4K5"
"1146","SAV1"
"1147","PYGL"
"1148","TRIM9"
"1149","TMX1"
"1150","ERO1A"
"1151","STYX"
"1152","DDHD1"
"1153","CNIH1"
"1154","SAMD4A"
"1155","GCH1"
"1156","SOCS4"
"1157","LGALS3"
"1158","FBXO34"
"1159","EXOC5"
"1160","PSMA3"
"1161","RBM8B"
"1162","C14orf39"
"1163","PRKCH"
"1164","HIF1A-AS2"
"1165","PPP2R5E"
"1166","SYNE2"
"1167","PLEKHG3"
"1168","SPTB"
"1169","MAX"
"1170","AL135978.1"
"1171","ATP6V1D"
"1172","EIF2S1"
"1173","RDH11"
"1174","ZFP36L1"
"1175","DDX18P1"
"1176","SLC39A9"
"1177","SUSD6"
"1178","AC004825.2"
"1179","PCNX1"
"1180","RBM25"
"1181","PSEN1"
"1182","NUMB"
"1183","AC005280.3"
"1184","AC005280.2"
"1185","AC005280.1"
"1186","PNMA1"
"1187","AC005520.1"
"1188","ZNF410"
"1189","AC005480.1"
"1190","FAM161B"
"1191","ENTPD5"
"1192","ISCA2"
"1193","AL049780.1"
"1194","MLH3"
"1195","TMED10"
"1196","FOS"
"1197","AF111167.2"
"1198","GPATCH2L"
"1199","ANGEL1"
"1200","IRF2BPL"
"1201","TMED8"
"1202","ALKBH1"
"1203","GTF2A1"
"1204","SEL1L"
"1205","EIF3LP1"
"1206","FLRT2"
"1207","LINC02328"
"1208","GPR65"
"1209","AL157955.1"
"1210","FOXN3-AS1"
